STATE,NAME,,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,,
31,Nebraska,1711230.00,1713820.00,1719836.00,1728292.00,1738643.00,1749370.00,1761497.00,1772693.00,1783440.00,1796378.00,1812683.00,1826341.00,1830429.00
32,Nevada,1998250.00,2018741.00,2098399.00,2173791.00,2248850.00,2346222.00,2432143.00,2522658.00,2601072.00,2653630.00,2684665.00,2700551.00,2704642.00
33,New Hampshire,1235807.00,1239882.00,1255517.00,1269089.00,1279840.00,1290121.00,1298492.00,1308389.00,1312540.00,1315906.00,1316102.00,1316470.00,1316759.00
34,New Jersey,8414764.00,8430621.00,8492671.00,8552643.00,8601402.00,8634561.00,8651974.00,8661679.00,8677885.00,8711090.00,8755602.00,8791894.00,8801624.00
35,New Mexico,1819017.00,1821204.00,1831690.00,1855309.00,1877574.00,1903808.00,1932274.00,1962137.00,1990070.00,2010662.00,2036802.00,2059179.00,2065932.00
36,New York,18977026.00,19001780.00,19082838.00,19137800.00,19175939.00,19171567.00,19132610.00,19104631.00,19132335.00,19212436.00,19307066.00,19378102.00,19392283.00
37,North Carolina,8046346.00,8081614.00,8210122.00,8326201.00,8422501.00,8553152.00,8705407.00,8917270.00,9118037.00,9309449.00,9449566.00,9535483.00,9561558.00
38,North Dakota,642237.00,642023.00,639062.00,638168.00,638817.00,644705.00,646089.00,649422.00,652822.00,657569.00,664968.00,672591.00,674499.00
39,Ohio,11353336.00,11363543.00,11387404.00,11407889.00,11434788.00,11452251.00,11463320.00,11481213.00,11500468.00,11515391.00,11528896.00,11536504.00,11536182.00
40,Oklahoma,3450451.00,3454365.00,3467100.00,3489080.00,3504892.00,3525233.00,3548597.00,3594090.00,3634349.00,3668976.00,3717572.00,3751351.00,3761702.00
41,Oregon,3421524.00,3429708.00,3467937.00,3513424.00,3547376.00,3569463.00,3613202.00,3670883.00,3722417.00,3768748.00,3808600.00,3831074.00,3838957.00
42,Pennsylvania,12280548.00,12284173.00,12298970.00,12331031.00,12374658.00,12410722.00,12449990.00,12510809.00,12563937.00,12612285.00,12666858.00,12702379.00,12709630.00
44,Rhode Island,1048259.00,1050268.00,1057142.00,1065995.00,1071342.00,1074579.00,1067916.00,1063096.00,1057315.00,1055003.00,1053646.00,1052567.00,1052886.00
45,South Carolina,4012023.00,4024223.00,4064995.00,4107795.00,4150297.00,4210921.00,4270150.00,4357847.00,4444110.00,4528996.00,4589872.00,4625364.00,4636312.00
46,South Dakota,754858.00,755844.00,757972.00,760020.00,763729.00,770396.00,775493.00,783033.00,791623.00,799124.00,807067.00,814180.00,816463.00
47,Tennessee,5689427.00,5703719.00,5750789.00,5795918.00,5847812.00,5910809.00,5991057.00,6088766.00,6175727.00,6247411.00,6306019.00,6346105.00,6356897.00
48,Texas,20851028.00,20944499.00,21319622.00,21690325.00,22030931.00,22394023.00,22778123.00,23359580.00,23831983.00,24309039.00,24801761.00,25145561.00,25257114.00
49,Utah,2233183.00,2244502.00,2283715.00,2324815.00,2360137.00,2401580.00,2457719.00,2525507.00,2597746.00,2663029.00,2723421.00,2763885.00,2776469.00
50,Vermont,608613.00,609618.00,612223.00,615442.00,617858.00,619920.00,621215.00,622892.00,623481.00,624151.00,624817.00,625741.00,625960.00
51,Virginia,7079057.00,7105817.00,7198362.00,7286873.00,7366977.00,7475575.00,7577105.00,7673725.00,7751000.00,7833496.00,7925937.00,8001024.00,8024617.00
53,Washington,5894281.00,5910512.00,5985722.00,6052349.00,6104115.00,6178645.00,6257305.00,6370753.00,6461587.00,6562231.00,6667426.00,6724540.00,6744496.00
54,West Virginia,1808193.00,1807021.00,1801481.00,1805414.00,1812295.00,1816438.00,1820492.00,1827912.00,1834052.00,1840310.00,1847775.00,1852994.00,1853973.00
55,Wisconsin,5363757.00,5373999.00,5406835.00,5445162.00,5479203.00,5514026.00,5546166.00,5577655.00,5610775.00,5640996.00,5669264.00,5686986.00,5691047.00
56,Wyoming,493786.00,494300.00,494657.00,500017.00,503453.00,509106.00,514157.00,522667.00,534876.00,546043.00,559851.00,563626.00,564460.00
72,Puerto Rico,3808605.00,3810605.00,3818774.00,3823701.00,3826095.00,3826878.00,3821362.00,3805214.00,3782995.00,3760866.00,3740410.00,3725789.00,3722133.00
