,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
1990,6,IA,Final,"66,467","757,906",.,8.77,"39,834","569,988",.,6.99,"42,701","989,202",.,4.32,.,.,.,.,"4,408","68,177",.,6.47,"153,410","2,385,273",.,6.43
1990,6,ID,Final,"17,487","344,770",.,5.07,"21,952","544,339",.,4.03,"17,384","630,354",.,2.76,.,.,.,.,"2,599","56,506",.,4.60,"59,423","1,575,969",.,3.77
1990,6,IL,Final,"277,118","2,442,777",.,11.34,"216,157","2,589,879",.,8.35,"180,551","3,225,581",.,5.60,.,.,.,.,"46,652","621,144",.,7.51,"720,479","8,879,381",.,8.11
1990,6,IN,Final,"118,827","1,626,695",.,7.30,"80,784","1,315,714",.,6.14,"125,539","3,107,896",.,4.04,.,.,.,.,"4,341","48,860",.,8.88,"329,492","6,099,165",.,5.40
1990,6,KS,Final,"68,211","794,030",.,8.59,"53,861","813,855",.,6.62,"35,842","722,360",.,4.96,.,.,.,.,"2,549","28,055",.,9.09,"160,463","2,358,299",.,6.80
1990,6,KY,Final,"77,764","1,311,609",.,5.93,"45,224","823,947",.,5.49,"100,770","2,722,058",.,3.70,.,.,.,.,"10,618","215,174",.,4.93,"234,375","5,072,787",.,4.62
1990,6,LA,Final,"166,889","2,278,942",.,7.32,"88,773","1,313,165",.,6.76,"90,562","2,229,543",.,4.06,.,.,.,.,"16,809","245,352",.,6.85,"363,032","6,067,002",.,5.98
1990,6,MA,Final,"108,114","1,096,645",.,9.86,"121,272","1,471,989",.,8.24,"66,451","838,835",.,7.92,.,.,.,.,"9,686","82,979",.,11.67,"305,524","3,490,448",.,8.75
1990,6,MD,Final,"104,297","1,256,808",.,8.30,"66,812","839,821",.,7.96,"82,839","1,538,984",.,5.38,.,.,.,.,"4,764","49,804",.,9.57,"258,712","3,685,416",.,7.02
1990,6,ME,Final,"25,087","280,451",.,8.95,"14,685","203,919",.,7.20,"20,451","390,193",.,5.24,.,.,.,.,"1,493","13,055",.,11.44,"61,716","887,617",.,6.95
1990,6,MI,Final,"152,273","1,928,406",.,7.90,"142,711","1,727,765",.,8.26,"180,104","3,082,548",.,5.84,.,.,.,.,"11,753","106,180",.,11.07,"486,841","6,844,899",.,7.11
1990,6,MN,Final,"79,279","1,081,900",.,7.33,"43,160","670,824",.,6.43,"84,716","1,902,515",.,4.45,.,.,.,.,"4,256","54,920",.,7.75,"211,411","3,710,160",.,5.70
1990,6,MO,Final,"148,799","1,741,327",.,8.55,"120,046","1,689,806",.,7.10,"61,654","1,144,539",.,5.39,.,.,.,.,"5,322","76,712",.,6.94,"335,821","4,652,383",.,7.22
