,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
1995,1,MO,Final,"145,145","2,419,450",.,6.00,"97,144","1,811,667",.,5.36,"45,552","1,152,548",.,3.95,.,.,.,.,"5,043","80,141",.,6.29,"292,884","5,463,806",.,5.36
1995,1,MS,Final,"71,395","1,117,476",.,6.39,"37,790","538,497",.,7.02,"53,799","1,239,084",.,4.34,.,.,.,.,"4,664","52,871",.,8.82,"167,648","2,947,928",.,5.69
1995,1,MT,Final,"25,091","399,587",.,6.28,"16,570","268,346",.,6.17,"20,023","501,931",.,3.99,.,.,.,.,"1,744","28,713",.,6.07,"63,428","1,198,577",.,5.29
1995,1,NC,Final,"306,416","3,923,923",.,7.81,"146,374","2,306,873",.,6.35,"120,058","2,541,789",.,4.72,.,.,.,.,"11,243","151,183",.,7.44,"584,091","8,923,768",.,6.55
1995,1,ND,Final,"22,324","393,885",.,5.67,"12,249","211,503",.,5.79,"6,797","160,401",.,4.24,.,.,.,.,"1,705","44,176",.,3.86,"43,075","809,965",.,5.32
1995,1,NE,Final,"37,871","716,772",.,5.28,"25,659","499,255",.,5.14,"16,052","442,309",.,3.63,.,.,.,.,"5,464","95,742",.,5.71,"85,046","1,754,078",.,4.85
1995,1,NH,Final,"45,581","350,279",.,13.01,"30,810","279,320",.,11.03,"17,430","188,336",.,9.25,.,.,.,.,"1,206","11,639",.,10.36,"95,027","829,574",.,11.45
1995,1,NJ,Final,"225,986","2,000,756",.,11.30,"239,232","2,420,432",.,9.88,"90,027","1,091,101",.,8.25,.,.,.,.,"7,907","54,579",.,14.49,"563,152","5,566,868",.,10.12
1995,1,NM,Final,"35,854","392,136",.,9.14,"30,752","370,011",.,8.31,"20,623","443,755",.,4.65,.,.,.,.,"6,433","108,775",.,5.91,"93,662","1,314,677",.,7.12
1995,1,NV,Final,"41,498","575,853",.,7.21,"24,535","350,920",.,6.99,"29,873","660,976",.,4.52,.,.,.,.,"2,373","51,812",.,4.58,"98,279","1,639,561",.,5.99
1995,1,NY,Final,"474,692","3,607,123",.,13.16,"466,723","4,339,577",.,10.76,"119,618","2,122,831",.,5.63,.,.,.,.,"91,355","1,079,958",.,8.46,"1,152,388","11,149,489",.,10.34
1995,1,OH,Final,"342,575","4,482,944",.,7.64,"219,557","2,986,513",.,7.35,"248,718","6,349,538",.,3.92,.,.,.,.,"23,014","373,390",.,6.16,"833,864","14,192,385",.,5.88
1995,1,OK,Final,"81,373","1,410,619",.,5.77,"41,089","854,298",.,4.81,"31,260","958,127",.,3.26,.,.,.,.,"6,510","170,497",.,3.82,"160,232","3,393,541",.,4.72
1995,1,OR,Final,"104,527","1,977,289",.,5.29,"57,006","1,126,766",.,5.06,"43,723","1,240,210",.,3.53,.,.,.,.,"3,237","62,985",.,5.14,"208,493","4,407,250",.,4.73
1995,1,PA,Final,"385,089","4,293,409",.,8.97,"232,770","2,913,605",.,7.99,"224,370","3,844,185",.,5.84,.,.,.,.,"13,102","127,758",.,10.26,"855,331","11,178,957",.,7.65
1995,1,RI,Final,"25,433","241,248",.,10.54,"22,837","228,744",.,9.98,"10,190","110,590",.,9.21,.,.,.,.,"1,576","15,020",.,10.49,"60,036","595,602",.,10.08
1995,1,SC,Final,"148,152","2,026,996",.,7.31,"67,505","1,073,955",.,6.29,"86,590","2,225,860",.,3.89,.,.,.,.,"4,020","66,726",.,6.02,"306,267","5,393,537",.,5.68
1995,1,SD,Final,"21,403","325,227",.,6.58,"10,959","177,802",.,6.16,"5,765","137,690",.,4.19,.,.,.,.,"1,179","28,531",.,4.13,"39,306","669,250",.,5.87
1995,1,TN,Final,"178,466","3,068,857",.,5.82,"26,567","399,411",.,6.65,"161,326","3,615,323",.,4.46,.,.,.,.,"6,046","75,215",.,8.04,"372,405","7,158,806",.,5.20
1995,1,TX,Final,"521,016","7,213,915",.,7.22,"362,617","5,170,772",.,7.01,"296,520","7,039,854",.,4.21,.,.,.,.,"57,744","886,429",.,6.51,"1,237,897","20,310,970",.,6.09
1995,1,UT,Final,"34,474","501,188",.,6.88,"26,634","455,359",.,5.85,"20,872","563,086",.,3.71,.,.,.,.,"3,034","70,397",.,4.31,"85,014","1,590,030",.,5.35
1995,1,VA,Final,"249,933","3,456,897",.,7.23,"118,151","1,935,553",.,6.10,"62,698","1,468,873",.,4.27,.,.,.,.,"44,512","750,866",.,5.93,"475,294","7,612,189",.,6.24
1995,1,VT,Final,"23,630","203,568",.,11.61,"16,338","138,301",.,11.81,"11,238","130,126",.,8.64,.,.,.,.,520,"3,841",.,13.54,"51,726","475,836",.,10.87
1995,1,WA,Final,"190,627","3,731,362",.,5.11,"96,635","1,880,044",.,5.14,"87,244","2,926,080",.,2.98,.,.,.,.,"13,693","327,369",.,4.18,"388,199","8,864,855",.,4.38
1995,1,WI,Final,"115,116","1,718,967",.,6.70,"72,127","1,249,971",.,5.77,"73,244","1,931,019",.,3.79,.,.,.,.,"4,416","70,394",.,6.27,"264,903","4,970,351",.,5.33
1995,1,WV,Final,"61,953","999,249",.,6.20,"30,109","515,253",.,5.84,"37,291","926,012",.,4.03,.,.,.,.,761,"8,801",.,8.65,"130,114","2,449,315",.,5.31
1995,1,WY,Final,"13,447","212,681",.,6.32,"10,501","205,849",.,5.10,"19,713","556,067",.,3.55,.,.,.,.,695,"10,756",.,6.46,"44,356","985,353",.,4.50
1995,2,AK,Final,"17,858","159,829",.,11.17,"17,615","182,961",.,9.63,"3,571","39,469",.,9.05,.,.,.,.,"2,055","16,310",.,12.60,"41,099","398,569",.,10.31
1995,2,AL,Final,"112,886","1,801,975",.,6.26,"55,112","814,077",.,6.77,"96,233","2,578,223",.,3.73,.,.,.,.,"3,142","43,994",.,7.14,"267,373","5,238,269",.,5.10
1995,2,AR,Final,"73,293","984,366",.,7.45,"33,686","518,822",.,6.49,"46,039","1,108,151",.,4.15,.,.,.,.,"2,817","44,706",.,6.30,"155,835","2,656,045",.,5.87
1995,2,AZ,Final,"109,057","1,280,220",.,8.52,"88,548","1,140,477",.,7.76,"46,284","889,520",.,5.20,.,.,.,.,"7,948","151,553",.,5.24,"251,837","3,461,770",.,7.27
1995,2,CA,Final,"629,675","5,584,084",.,11.28,"581,907","6,097,930",.,9.54,"298,799","4,546,721",.,6.57,.,.,.,.,"30,581","477,329",.,6.41,"1,540,962","16,706,064",.,9.22
1995,2,CO,Final,"74,155","1,018,374",.,7.28,"67,557","1,115,962",.,6.05,"36,121","805,545",.,4.48,.,.,.,.,"5,616","77,005",.,7.29,"183,449","3,016,886",.,6.08
1995,2,CT,Final,"114,822","1,016,726",.,11.29,"83,450","832,863",.,10.02,"35,936","464,828",.,7.73,.,.,.,.,"4,275","32,326",.,13.22,"238,483","2,346,743",.,10.16
1995,2,DC,Final,"8,589","135,081",.,6.36,"35,519","615,570",.,5.77,803,"21,060",.,3.81,.,.,.,.,"1,807","28,985",.,6.23,"46,718","800,696",.,5.83
1995,2,DE,Final,"25,294","306,209",.,8.26,"15,779","230,920",.,6.83,"13,379","287,015",.,4.66,.,.,.,.,558,"4,675",.,11.94,"55,010","828,819",.,6.64
1995,2,FL,Final,"514,921","6,606,479",.,7.79,"268,966","4,122,745",.,6.52,"66,319","1,281,173",.,5.18,.,.,.,.,"25,350","361,717",.,7.01,"875,556","12,372,114",.,7.08
1995,2,GA,Final,"185,351","2,574,834",.,7.20,"150,401","1,985,845",.,7.57,"105,371","2,325,160",.,4.53,.,.,.,.,"7,826","91,046",.,8.60,"448,949","6,976,885",.,6.43
1995,2,HI,Final,"26,314","198,083",.,13.28,"24,244","197,047",.,12.30,"25,785","279,182",.,9.24,.,.,.,.,544,"4,519",.,12.04,"76,888","678,831",.,11.33
1995,2,IA,Final,"63,352","864,179",.,7.33,"40,592","699,489",.,5.80,"41,094","1,106,112",.,3.72,.,.,.,.,"5,787","124,524",.,4.65,"150,825","2,794,304",.,5.40
1995,2,ID,Final,"29,251","572,342",.,5.11,"13,951","295,311",.,4.72,"16,441","586,692",.,2.80,.,.,.,.,"1,176","22,989",.,5.12,"60,819","1,477,334",.,4.12
1995,2,IL,Final,"291,221","3,123,968",.,9.32,"214,953","3,004,975",.,7.15,"168,711","3,460,573",.,4.88,.,.,.,.,"44,313","710,989",.,6.23,"719,198","10,300,505",.,6.98
1995,2,IN,Final,"143,138","2,292,312",.,6.24,"81,233","1,405,405",.,5.78,"126,358","3,252,224",.,3.89,.,.,.,.,"4,052","46,181",.,8.77,"354,781","6,996,122",.,5.07
1995,2,KS,Final,"51,477","684,482",.,7.52,"48,588","732,674",.,6.63,"34,333","719,927",.,4.77,.,.,.,.,"2,572","32,998",.,7.79,"136,970","2,170,081",.,6.31
1995,2,KY,Final,"91,940","1,739,516",.,5.29,"41,755","800,288",.,5.22,"89,994","3,226,524",.,2.79,.,.,.,.,"10,545","229,273",.,4.60,"234,234","5,995,601",.,3.91
1995,2,LA,Final,"109,399","1,539,078",.,7.11,"76,607","1,079,992",.,7.09,"95,542","2,486,844",.,3.84,.,.,.,.,"12,770","194,282",.,6.57,"294,318","5,300,196",.,5.55
1995,2,MA,Final,"163,604","1,488,076",.,10.99,"150,168","1,632,382",.,9.20,"62,876","790,138",.,7.96,.,.,.,.,"7,008","52,060",.,13.46,"383,656","3,962,656",.,9.68
1995,2,MD,Final,"151,104","2,034,621",.,7.43,"110,380","1,848,758",.,5.97,"30,599","807,601",.,3.79,.,.,.,.,"5,511","69,628",.,7.91,"297,594","4,760,608",.,6.25
1995,2,ME,Final,"42,975","337,132",.,12.75,"28,513","233,613",.,12.21,"31,357","379,716",.,8.26,.,.,.,.,"1,781","10,723",.,16.61,"104,626","961,184",.,10.89
1995,2,MI,Final,"182,232","2,230,874",.,8.17,"184,939","2,313,327",.,7.99,"143,474","2,728,678",.,5.26,.,.,.,.,"7,174","69,602",.,10.31,"517,819","7,342,481",.,7.05
1995,2,MN,Final,"92,831","1,378,641",.,6.73,"44,739","752,281",.,5.95,"83,487","1,996,084",.,4.18,.,.,.,.,"3,988","57,017",.,6.99,"225,045","4,184,023",.,5.38
1995,2,MO,Final,"122,310","1,989,037",.,6.15,"86,568","1,570,807",.,5.51,"43,600","1,090,114",.,4.00,.,.,.,.,"4,817","71,755",.,6.71,"257,295","4,721,713",.,5.45
1995,2,MS,Final,"67,996","1,054,126",.,6.45,"35,436","507,048",.,6.99,"51,576","1,196,476",.,4.31,.,.,.,.,"4,270","50,209",.,8.50,"159,278","2,807,859",.,5.67
1995,2,MT,Final,"19,601","313,379",.,6.25,"15,092","239,416",.,6.30,"18,862","438,316",.,4.30,.,.,.,.,"1,618","24,564",.,6.59,"55,173","1,015,675",.,5.43
1995,2,NC,Final,"300,306","3,858,044",.,7.78,"143,632","2,247,776",.,6.39,"120,809","2,598,425",.,4.65,.,.,.,.,"11,171","147,361",.,7.58,"575,918","8,851,606",.,6.51
1995,2,ND,Final,"20,625","360,145",.,5.73,"11,936","202,356",.,5.90,"6,718","156,597",.,4.29,.,.,.,.,"1,669","43,396",.,3.85,"40,948","762,494",.,5.37
1995,2,NE,Final,"33,771","600,407",.,5.62,"23,707","445,228",.,5.32,"16,152","427,199",.,3.78,.,.,.,.,"5,377","88,894",.,6.05,"79,007","1,561,728",.,5.06
1995,2,NH,Final,"40,819","310,694",.,13.14,"29,988","268,815",.,11.16,"17,173","179,353",.,9.57,.,.,.,.,"1,665","10,947",.,15.21,"89,645","769,809",.,11.65
1995,2,NJ,Final,"207,424","1,843,727",.,11.25,"229,433","2,329,179",.,9.85,"83,171","1,047,394",.,7.94,.,.,.,.,"7,428","42,879",.,17.32,"527,456","5,263,179",.,10.02
1995,2,NM,Final,"29,200","333,974",.,8.74,"28,161","353,140",.,7.97,"18,543","431,151",.,4.30,.,.,.,.,"6,210","102,451",.,6.06,"82,114","1,220,716",.,6.73
1995,2,NV,Final,"30,851","414,306",.,7.45,"22,533","320,355",.,7.03,"27,855","615,126",.,4.53,.,.,.,.,"2,466","52,718",.,4.68,"83,705","1,402,505",.,5.97
1995,2,NY,Final,"456,694","3,484,108",.,13.11,"460,736","4,287,300",.,10.75,"119,358","2,066,528",.,5.78,.,.,.,.,"94,718","1,134,835",.,8.35,"1,131,506","10,972,771",.,10.31
1995,2,OH,Final,"309,484","3,975,596",.,7.78,"207,275","2,729,646",.,7.59,"244,787","6,058,389",.,4.04,.,.,.,.,"22,704","357,373",.,6.35,"784,250","13,121,004",.,5.98
1995,2,OK,Final,"68,467","1,144,296",.,5.98,"38,251","786,519",.,4.86,"31,199","897,329",.,3.48,.,.,.,.,"6,596","169,283",.,3.90,"144,513","2,997,427",.,4.82
1995,2,OR,Final,"80,928","1,504,173",.,5.38,"51,725","1,004,474",.,5.15,"43,116","1,227,887",.,3.51,.,.,.,.,"3,266","63,134",.,5.17,"179,035","3,799,668",.,4.71
1995,2,PA,Final,"365,333","4,011,360",.,9.11,"231,427","2,844,722",.,8.14,"222,129","3,719,279",.,5.97,.,.,.,.,"13,096","111,979",.,11.70,"831,985","10,687,340",.,7.78
1995,2,RI,Final,"26,178","223,184",.,11.73,"21,623","214,752",.,10.07,"10,212","111,577",.,9.15,.,.,.,.,"1,586","14,318",.,11.08,"59,599","563,831",.,10.57
1995,2,SC,Final,"145,099","2,000,091",.,7.25,"67,158","1,067,482",.,6.29,"85,358","2,200,583",.,3.88,.,.,.,.,"3,983","68,343",.,5.83,"301,598","5,336,499",.,5.65
1995,2,SD,Final,"19,755","297,194",.,6.65,"10,397","166,033",.,6.26,"5,612","131,405",.,4.27,.,.,.,.,"1,172","27,312",.,4.29,"36,936","621,944",.,5.94
1995,2,TN,Final,"181,763","3,127,138",.,5.81,"27,208","408,226",.,6.66,"156,675","3,458,930",.,4.53,.,.,.,.,"6,154","89,325",.,6.89,"371,800","7,083,619",.,5.25
1995,2,TX,Final,"453,075","6,141,220",.,7.38,"347,013","4,767,403",.,7.28,"296,593","7,048,088",.,4.21,.,.,.,.,"55,863","815,906",.,6.85,"1,152,544","18,772,617",.,6.14
1995,2,UT,Final,"26,601","384,639",.,6.92,"24,320","419,989",.,5.79,"18,166","501,887",.,3.62,.,.,.,.,"2,730","63,558",.,4.30,"71,817","1,370,073",.,5.24
1995,2,VA,Final,"239,849","3,291,653",.,7.29,"111,267","1,840,234",.,6.05,"62,668","1,464,036",.,4.28,.,.,.,.,"40,869","738,402",.,5.53,"454,653","7,334,325",.,6.20
1995,2,VT,Final,"22,113","190,730",.,11.59,"15,720","132,299",.,11.88,"11,228","123,155",.,9.12,.,.,.,.,523,"3,873",.,13.50,"49,584","450,057",.,11.02
1995,2,WA,Final,"167,212","3,361,083",.,4.97,"91,390","1,780,574",.,5.13,"81,047","2,617,168",.,3.10,.,.,.,.,"12,552","314,437",.,3.99,"352,201","8,073,262",.,4.36
1995,2,WI,Final,"135,886","1,443,791",.,9.41,"69,412","1,212,837",.,5.72,"69,189","1,830,268",.,3.78,.,.,.,.,"4,118","61,238",.,6.72,"278,605","4,548,134",.,6.13
1995,2,WV,Final,"55,797","890,432",.,6.27,"28,705","483,412",.,5.94,"36,467","889,575",.,4.10,.,.,.,.,750,"7,825",.,9.58,"121,719","2,271,244",.,5.36
1995,2,WY,Final,"10,364","178,926",.,5.79,"9,890","192,473",.,5.14,"20,596","590,650",.,3.49,.,.,.,.,680,"10,117",.,6.72,"41,530","972,166",.,4.27
1995,3,AK,Final,"18,181","162,400",.,11.20,"18,409","189,780",.,9.70,"3,808","44,618",.,8.53,.,.,.,.,"2,073","16,095",.,12.88,"42,471","412,893",.,10.29
1995,3,AL,Final,"103,621","1,614,718",.,6.42,"61,172","909,176",.,6.73,"103,504","2,695,702",.,3.84,.,.,.,.,"3,489","48,440",.,7.20,"271,786","5,268,036",.,5.16
1995,3,AR,Final,"70,598","922,143",.,7.66,"34,284","523,369",.,6.55,"46,102","1,089,395",.,4.23,.,.,.,.,"2,842","39,061",.,7.28,"153,826","2,573,968",.,5.98
1995,3,AZ,Final,"97,649","1,109,114",.,8.80,"88,941","1,154,056",.,7.71,"48,615","952,951",.,5.10,.,.,.,.,"8,357","164,470",.,5.08,"243,562","3,380,591",.,7.20
1995,3,CA,Final,"605,770","5,239,196",.,11.56,"580,545","5,959,185",.,9.74,"320,101","4,885,552",.,6.55,.,.,.,.,"27,916","421,929",.,6.62,"1,534,332","16,505,862",.,9.30
1995,3,CO,Final,"72,091","986,189",.,7.31,"65,084","1,065,614",.,6.11,"35,922","795,403",.,4.52,.,.,.,.,"5,779","70,042",.,8.25,"178,876","2,917,248",.,6.13
1995,3,CT,Final,"101,815","892,411",.,11.41,"94,030","941,055",.,9.99,"38,539","507,647",.,7.59,.,.,.,.,"4,593","32,557",.,14.11,"238,977","2,373,670",.,10.07
1995,3,DC,Final,"7,248","115,289",.,6.29,"35,726","607,578",.,5.88,912,"23,227",.,3.93,.,.,.,.,"1,834","28,174",.,6.51,"45,720","774,268",.,5.90
1995,3,DE,Final,"23,325","276,805",.,8.43,"15,568","232,820",.,6.69,"13,363","281,944",.,4.74,.,.,.,.,573,"4,687",.,12.23,"52,829","796,256",.,6.63
1995,3,FL,Final,"427,787","5,441,090",.,7.86,"278,965","4,311,640",.,6.47,"66,333","1,296,399",.,5.12,.,.,.,.,"27,071","400,655",.,6.76,"800,156","11,449,784",.,6.99
1995,3,GA,Final,"171,415","2,333,811",.,7.34,"154,954","2,085,618",.,7.43,"112,072","2,619,190",.,4.28,.,.,.,.,"7,998","93,499",.,8.55,"446,439","7,132,118",.,6.26
1995,3,HI,Final,"28,676","215,846",.,13.29,"27,095","218,118",.,12.42,"28,387","299,292",.,9.48,.,.,.,.,603,"5,014",.,12.03,"84,762","738,270",.,11.48
1995,3,IA,Final,"67,157","909,386",.,7.38,"42,672","720,557",.,5.92,"44,994","1,214,788",.,3.70,.,.,.,.,"6,033","140,912",.,4.28,"160,856","2,985,643",.,5.39
1995,3,ID,Final,"30,475","575,025",.,5.30,"15,719","334,681",.,4.70,"18,310","665,430",.,2.75,.,.,.,.,"1,232","23,167",.,5.32,"65,736","1,598,303",.,4.11
1995,3,IL,Final,"287,914","2,860,622",.,10.06,"223,182","2,893,648",.,7.71,"182,658","3,400,563",.,5.37,.,.,.,.,"47,264","669,330",.,7.06,"741,018","9,824,163",.,7.54
1995,3,IN,Final,"136,216","2,066,204",.,6.59,"83,180","1,414,223",.,5.88,"131,493","3,445,275",.,3.82,.,.,.,.,"4,029","45,955",.,8.77,"354,918","6,971,657",.,5.09
1995,3,KS,Final,"54,912","719,620",.,7.63,"51,329","774,354",.,6.63,"36,400","746,236",.,4.88,.,.,.,.,"3,036","33,338",.,9.11,"145,677","2,273,548",.,6.41
1995,3,KY,Final,"82,101","1,459,158",.,5.63,"41,607","793,242",.,5.25,"93,201","3,277,767",.,2.84,.,.,.,.,"10,714","231,363",.,4.63,"227,623","5,761,530",.,3.95
1995,3,LA,Final,"101,607","1,480,036",.,6.87,"76,104","1,091,414",.,6.97,"92,422","2,307,831",.,4.00,.,.,.,.,"11,839","176,427",.,6.71,"281,972","5,055,708",.,5.58
1995,3,MA,Final,"153,165","1,416,208",.,10.82,"146,258","1,668,784",.,8.76,"59,107","819,032",.,7.22,.,.,.,.,"7,033","52,342",.,13.44,"365,563","3,956,366",.,9.24
1995,3,MD,Final,"138,628","1,835,855",.,7.55,"105,535","1,752,034",.,6.02,"28,353","769,891",.,3.68,.,.,.,.,"5,556","69,753",.,7.97,"278,072","4,427,533",.,6.28
1995,3,ME,Final,"43,605","347,815",.,12.54,"30,008","253,344",.,11.84,"32,073","400,091",.,8.02,.,.,.,.,"1,904","12,146",.,15.68,"107,590","1,013,396",.,10.62
1995,3,MI,Final,"184,870","2,279,330",.,8.11,"198,483","2,495,122",.,7.95,"146,178","2,808,199",.,5.21,.,.,.,.,"7,829","75,053",.,10.43,"537,360","7,657,704",.,7.02
1995,3,MN,Final,"86,052","1,262,166",.,6.82,"44,774","749,851",.,5.97,"91,421","2,183,853",.,4.19,.,.,.,.,"4,090","59,886",.,6.83,"226,337","4,255,756",.,5.32
1995,3,MO,Final,"116,250","1,821,576",.,6.38,"92,836","1,673,602",.,5.55,"46,460","1,182,764",.,3.93,.,.,.,.,"4,980","75,243",.,6.62,"260,526","4,753,185",.,5.48
1995,3,MS,Final,"65,786","974,473",.,6.75,"38,357","538,687",.,7.12,"52,955","1,260,167",.,4.20,.,.,.,.,"4,567","53,578",.,8.52,"161,665","2,826,905",.,5.72
1995,3,MT,Final,"20,920","348,591",.,6.00,"14,256","260,267",.,5.48,"15,770","518,558",.,3.04,.,.,.,.,"1,574","25,351",.,6.21,"52,520","1,152,767",.,4.56
1995,3,NC,Final,"254,829","3,203,849",.,7.95,"142,416","2,215,764",.,6.43,"127,284","2,729,761",.,4.66,.,.,.,.,"11,086","156,774",.,7.07,"535,615","8,306,148",.,6.45
1995,3,ND,Final,"18,650","314,322",.,5.93,"11,457","183,859",.,6.23,"6,467","141,992",.,4.55,.,.,.,.,"1,607","40,183",.,4.00,"38,181","680,356",.,5.61
1995,3,NE,Final,"33,469","594,239",.,5.63,"24,253","465,625",.,5.21,"16,132","449,672",.,3.59,.,.,.,.,"5,282","86,161",.,6.13,"79,136","1,595,697",.,4.96
1995,3,NH,Final,"38,984","299,957",.,13.00,"28,797","262,309",.,10.98,"17,072","180,238",.,9.47,.,.,.,.,777,"11,672",.,6.66,"85,630","754,176",.,11.35
1995,3,NJ,Final,"201,858","1,768,783",.,11.41,"240,542","2,430,610",.,9.90,"89,209","1,111,272",.,8.03,.,.,.,.,"7,485","42,692",.,17.53,"539,094","5,353,357",.,10.07
1995,3,NM,Final,"30,739","337,906",.,9.10,"32,958","400,283",.,8.23,"21,031","459,665",.,4.58,.,.,.,.,"6,798","115,862",.,5.87,"91,526","1,313,716",.,6.97
1995,3,NV,Final,"31,462","417,396",.,7.54,"24,566","352,928",.,6.96,"31,378","687,590",.,4.56,.,.,.,.,"2,593","55,039",.,4.71,"89,999","1,512,953",.,5.95
1995,3,NY,Final,"447,374","3,354,354",.,13.34,"468,360","4,246,800",.,11.03,"120,229","2,159,293",.,5.57,.,.,.,.,"86,307","1,028,386",.,8.39,"1,122,270","10,788,833",.,10.40
1995,3,OH,Final,"288,564","3,503,564",.,8.24,"215,767","2,781,636",.,7.76,"259,006","6,536,777",.,3.96,.,.,.,.,"25,521","399,007",.,6.40,"788,858","13,220,984",.,5.97
1995,3,OK,Final,"72,724","1,184,442",.,6.14,"41,034","833,168",.,4.93,"32,318","964,321",.,3.35,.,.,.,.,"7,008","178,014",.,3.94,"153,084","3,159,945",.,4.84
1995,3,OR,Final,"83,681","1,568,243",.,5.34,"54,524","1,057,464",.,5.16,"44,431","1,266,371",.,3.51,.,.,.,.,"2,901","45,596",.,6.36,"185,537","3,937,674",.,4.71
1995,3,PA,Final,"336,320","3,692,239",.,9.11,"231,102","2,842,715",.,8.13,"237,708","3,912,126",.,6.08,.,.,.,.,"15,276","136,532",.,11.19,"820,406","10,583,612",.,7.75
1995,3,RI,Final,"23,079","217,509",.,10.61,"19,776","212,061",.,9.33,"9,589","118,207",.,8.11,.,.,.,.,"1,559","14,260",.,10.93,"54,003","562,037",.,9.61
1995,3,SC,Final,"121,286","1,632,256",.,7.43,"64,835","1,017,952",.,6.37,"88,935","2,322,025",.,3.83,.,.,.,.,"3,782","62,105",.,6.09,"278,838","5,034,338",.,5.54
1995,3,SD,Final,"19,126","281,977",.,6.78,"10,895","170,594",.,6.39,"6,042","137,775",.,4.39,.,.,.,.,"1,206","28,598",.,4.22,"37,269","618,944",.,6.02
1995,3,TN,Final,"146,043","2,486,467",.,5.87,"25,487","376,419",.,6.77,"152,495","3,410,700",.,4.47,.,.,.,.,"9,262","145,823",.,6.35,"333,287","6,419,409",.,5.19
1995,3,TX,Final,"448,924","6,048,572",.,7.42,"354,178","4,925,656",.,7.19,"300,084","7,183,761",.,4.18,.,.,.,.,"57,926","867,327",.,6.68,"1,161,112","19,025,316",.,6.10
1995,3,UT,Final,"29,035","417,557",.,6.95,"27,261","457,352",.,5.96,"21,244","576,165",.,3.69,.,.,.,.,"3,012","68,569",.,4.39,"80,552","1,519,643",.,5.30
1995,3,VA,Final,"202,576","2,674,703",.,7.57,"110,054","1,809,010",.,6.08,"63,340","1,532,284",.,4.13,.,.,.,.,"38,708","717,409",.,5.40,"414,678","6,733,406",.,6.16
1995,3,VT,Final,"18,418","177,453",.,10.38,"13,558","136,644",.,9.92,"8,850","128,088",.,6.91,.,.,.,.,487,"3,565",.,13.66,"41,313","445,750",.,9.27
1995,3,WA,Final,"157,853","3,128,983",.,5.04,"87,912","1,741,776",.,5.05,"85,657","2,894,390",.,2.96,.,.,.,.,"11,913","308,516",.,3.86,"343,335","8,073,665",.,4.25
1995,3,WI,Final,"102,422","1,516,332",.,6.75,"63,820","1,155,358",.,5.52,"75,328","2,008,911",.,3.75,.,.,.,.,"4,472","63,266",.,7.07,"246,042","4,743,867",.,5.19
1995,3,WV,Final,"51,788","792,561",.,6.53,"27,803","458,379",.,6.07,"36,908","900,213",.,4.10,.,.,.,.,750,"7,740",.,9.69,"117,249","2,158,893",.,5.43
1995,3,WY,Final,"10,906","185,994",.,5.86,"10,519","204,925",.,5.13,"22,819","627,194",.,3.64,.,.,.,.,684,"9,903",.,6.91,"44,928","1,028,016",.,4.37
1995,4,AK,Final,"16,018","142,709",.,11.22,"17,241","181,421",.,9.50,"3,464","42,329",.,8.18,.,.,.,.,"2,086","17,047",.,12.24,"38,809","383,506",.,10.12
1995,4,AL,Final,"95,520","1,345,879",.,7.10,"62,165","925,078",.,6.72,"106,989","2,516,967",.,4.25,.,.,.,.,"3,538","48,199",.,7.34,"268,212","4,836,123",.,5.55
1995,4,AR,Final,"58,354","727,542",.,8.02,"33,867","508,569",.,6.66,"47,050","1,129,534",.,4.17,.,.,.,.,"2,904","57,317",.,5.07,"142,175","2,422,962",.,5.87
1995,4,AZ,Final,"94,034","1,065,850",.,8.82,"90,230","1,201,832",.,7.51,"48,701","938,158",.,5.19,.,.,.,.,"8,985","183,229",.,4.90,"241,950","3,389,069",.,7.14
1995,4,CA,Final,"573,456","5,034,747",.,11.39,"571,423","6,029,422",.,9.48,"285,673","4,290,496",.,6.66,.,.,.,.,"30,674","443,427",.,6.92,"1,461,226","15,798,092",.,9.25
1995,4,CO,Final,"67,156","906,259",.,7.41,"62,976","1,017,820",.,6.19,"35,698","790,430",.,4.52,.,.,.,.,"5,576","67,445",.,8.27,"171,406","2,781,954",.,6.16
1995,4,CT,Final,"91,223","783,434",.,11.64,"76,568","770,619",.,9.94,"34,032","435,799",.,7.81,.,.,.,.,"4,122","27,673",.,14.90,"205,945","2,017,525",.,10.21
1995,4,DC,Final,"5,820","95,990",.,6.06,"35,417","594,869",.,5.95,781,"20,066",.,3.89,.,.,.,.,"1,844","28,259",.,6.53,"43,862","739,184",.,5.93
1995,4,DE,Final,"19,663","222,041",.,8.86,"14,509","208,591",.,6.96,"12,898","269,670",.,4.78,.,.,.,.,564,"4,496",.,12.54,"47,634","704,798",.,6.76
